stichtag;jahr;stat_id;stat_name;HH_insgesamt;EinPersonenHaushalte;ZweiPersonenHaushalte;DreiOderMehrPersonenHaushalte;HH_keineKinder;Haushalt_mitKindern_insgesamt;HH_ein_Kind;HH_zwei_Kinder;HH_drei_oder_mehrKindern;HH_EhePaareohneKinder_evtl_weiterePersonen;HH_EhePaaremitKindern_evtl_weiterePersonen;HH_Alleinerziehende_ohne_weiterePersonen;HH_SonstigeMehrpersonenhaushalte
31122020;2020;5711000001;Alt- und Neustadt;1984;1427;394;163;1837;147;98;42;7;354;106;29;68
31122020;2020;5711000002;Kesselbrink;1869;1273;389;207;1707;162;84;47;31;337;124;26;109
31122020;2020;5711000003;Pauluskirche;2701;1725;584;392;2374;327;161;112;54;511;223;75;167
31122020;2020;5711000004;Dürkopp;1651;997;386;268;1422;229;131;66;32;344;171;44;95
31122020;2020;5711000005;Landgericht;2094;1333;488;273;1857;237;145;68;24;440;179;48;94
31122020;2020;5711000006;Siegfriedplatz (inkl. Upmannstift);6946;4246;1631;1069;6017;929;537;326;66;1481;705;180;334
31122020;2020;5711000007;Nordpark;2378;1525;484;369;2056;322;157;111;54;411;230;72;140
31122020;2020;5711000008;Stadtwerke;1641;1062;346;233;1444;197;103;50;44;312;128;58;81
31122020;2020;5711000009;Güterbahnhof-Ost;1411;751;379;281;1162;249;114;80;55;335;207;27;91
31122020;2020;5711000010;Hammer-Mühle;6314;3549;1582;1183;5289;1025;522;359;144;1403;778;207;377
31122020;2020;5711000011;Königsbrügge (i.Betriebs. Sieker);4731;2541;1296;894;3922;809;436;282;91;1162;573;195;260
31122020;2020;5711000012;Brands Busch;1503;833;395;275;1290;213;101;82;30;397;180;27;66
31122020;2020;5711000013;Stauteiche (inkl. Großmarkt);2418;1158;694;566;1951;467;226;165;76;668;340;106;146
31122020;2020;5711000014;Heeper Fichten;5929;3313;1512;1104;4964;965;487;315;163;1326;689;243;358
31122020;2020;5711000015;Fuhrpark (inkl. Kammerratsheide);1739;966;420;353;1426;313;147;105;61;366;232;70;105
31122020;2020;5711000016;Bauerschaft Schildesche;800;331;217;252;589;211;91;70;50;209;159;46;55
31122020;2020;5711000117;Vorwerk Schildesche;3294;1420;975;899;2553;741;342;274;125;956;583;132;203
31122020;2020;5711000118;Schildesche;1226;602;356;268;1017;209;101;71;37;352;163;35;74
31122020;2020;5711000119;Johannesstift;1934;916;553;465;1578;356;175;126;55;570;281;58;109
31122020;2020;5711000120;Sudbrack;4967;2759;1299;909;4238;729;378;256;95;1261;575;130;242
31122020;2020;5711000121;Untertheesen;2968;1457;868;643;2484;484;258;160;66;884;384;82;161
31122020;2020;5711000122;Bültmannskrug;983;496;303;184;849;134;64;49;21;319;115;15;38
31122020;2020;5711000123;Gellershagen;3657;2000;949;708;3013;644;374;204;66;846;482;143;186
31122020;2020;5711000124;Bültmannshof;2298;1085;706;507;1849;449;223;186;40;646;341;84;142
31122020;2020;5711000125;Universität (inkl. Sieben Hügel);1184;741;310;133;1081;103;40;45;18;312;97;4;30
31122020;2020;5711000226;Johannistal;1383;674;407;302;1135;248;136;78;34;402;202;39;66
31122020;2020;5711000227;Bethel;1179;692;284;203;1027;152;67;64;21;249;113;32;93
31122020;2020;5711000228;Eggeweg (inkl. Osningpaß);2661;1361;676;624;2189;472;227;173;72;671;397;64;168
31122020;2020;5711000329;Rosenhöhe;1384;651;421;312;1148;236;109;99;28;429;179;44;81
31122020;2020;5711000330;Kammerich;3436;1722;878;836;2739;697;352;236;109;839;540;126;209
31122020;2020;5711000331;Frerks Hof;1550;783;394;373;1279;271;134;86;51;418;194;60;95
31122020;2020;5711000332;Brackwede-Mitte;1324;672;383;269;1104;220;109;84;27;369;171;38;74
31122020;2020;5711000333;Bahnhof-Brackwede;1524;666;426;432;1202;322;156;103;63;437;241;70;110
31122020;2020;5711000334;Kupferhammer;610;248;195;167;480;130;61;56;13;206;94;32;30
31122020;2020;5711000335;Brock (inkl. Südwestfeld);2202;893;661;648;1727;475;219;174;82;712;389;72;136
31122020;2020;5711000336;Ummeln (inkl. Holtkamp);3374;1349;1087;938;2664;710;352;242;116;1105;546;144;230
31122020;2020;5711000337;Kupferheide;1087;308;340;439;758;329;154;123;52;386;282;34;77
31122020;2020;5711000338;Quelle;3057;1177;897;983;2316;741;350;288;103;988;596;111;185
31122020;2020;5711000439;Hoberge-Uerentrup (i. Wolfskuhle);1767;701;603;463;1399;368;177;157;34;625;316;43;82
31122020;2020;5711000440;Pappelkrug (inkl. Wellensiek);2723;1425;769;529;2286;437;212;166;59;740;333;84;141
31122020;2020;5711000441;Großdornberg (inkl. Kirchdornberg);1528;734;476;318;1288;240;121;94;25;484;190;40;80
31122020;2020;5711000442;Babenhausen-Ost;1011;513;321;177;867;144;69;65;10;315;123;16;44
31122020;2020;5711000443;Babenhausen;1563;645;469;449;1210;353;153;146;54;489;310;40;79
31122020;2020;5711000444;Niederdornberg-Schröttinghausen;1222;370;462;390;925;297;148;110;39;475;237;43;97
31122020;2020;5711000545;Jöllenbeck-West;2567;881;911;775;2004;563;271;232;60;969;466;74;177
31122020;2020;5711000546;Jöllenbeck-Ost;3804;1306;1214;1284;2836;968;403;374;191;1302;771;148;277
31122020;2020;5711000547;Theesen;2011;774;711;526;1639;372;187;136;49;783;308;53;93
31122020;2020;5711000548;Vilsendorf;1910;690;584;636;1443;467;195;198;74;663;403;50;104
31122020;2020;5711000649;Grafenheide;1975;688;614;673;1471;504;223;200;81;670;423;73;121
31122020;2020;5711000650;Lämmkenstatt;1370;451;469;450;1030;340;147;133;60;506;289;39;85
31122020;2020;5711000651;Welscher (inkl. Jerrendorf);796;330;249;217;624;172;96;50;26;247;140;24;55
31122020;2020;5711000652;Baumheide (inkl. Halhof);3390;1318;961;1111;2468;922;379;289;254;902;685;199;286
31122020;2020;5711000653;Milse;2518;767;777;974;1837;681;307;219;155;917;560;91;183
31122020;2020;5711000654;Altenhagen;2107;688;679;740;1555;552;248;198;106;719;433;99;168
31122020;2020;5711000655;Windwehe (inkl. Brönninghausen);2279;733;737;809;1724;555;243;223;89;859;487;57;143
31122020;2020;5711000656;Tieplatz;1177;546;377;254;977;200;104;58;38;356;155;32;88
31122020;2020;5711000657;Heeper Holz;3124;1327;1010;787;2492;632;349;210;73;993;499;117;188
31122020;2020;5711000658;Oldentrup-West (i. Oldentrup-Ost);2077;755;676;646;1579;498;219;168;111;707;395;86;134
31122020;2020;5711000759;Dingerdissen;1583;479;513;591;1159;424;194;172;58;611;354;47;92
31122020;2020;5711000760;Ubbedissen (inkl. Lämershagen);1393;464;451;478;1057;336;153;126;57;522;297;32;78
31122020;2020;5711000761;Hillegossen;2607;976;844;787;2028;579;288;197;94;895;459;95;182
31122020;2020;5711000762;Stieghorst stb;4610;1963;1443;1204;3648;962;466;327;169;1419;738;186;304
31122020;2020;5711000763;Sieker;2423;962;684;777;1760;663;271;218;174;649;490;141;181
31122020;2020;5711000764;Rütli (inkl. Lonnerbach);2237;1040;666;531;1848;389;172;147;70;677;305;66;149
31122020;2020;5711000865;Dalbke;913;268;283;362;664;249;111;90;48;347;215;25;58
31122020;2020;5711000866;Eckardtsheim;1545;593;463;489;1192;353;143;133;77;511;285;57;99
31122020;2020;5711000867;Südstadt;1959;770;598;591;1462;497;205;185;107;568;370;90;161
31122020;2020;5711000868;Sennestadt (Sennest.-I.,Wrachtr.L.);5614;2455;1642;1517;4387;1227;567;417;243;1621;940;229;369
31122020;2020;5711000969;Schillingshof;1414;552;501;361;1166;248;127;92;29;526;201;39;96
31122020;2020;5711000970;Buschkamp (inkl. Togdrang);3005;1039;998;968;2299;706;324;293;89;1101;608;81;176
31122020;2020;5711000971;Windelsbleiche;2985;1034;904;1047;2160;825;402;302;121;960;661;129;201
31122020;2020;5711000972;Windflöte;2149;863;630;656;1662;487;214;196;77;664;388;86;148
31122019;2019;5711000001;Alt- und Neustadt;1968;1400;395;173;1806;162;114;36;12;337;120;35;76
31122019;2019;5711000002;Kesselbrink;1968;1369;378;221;1798;170;93;46;31;340;137;22;100
31122019;2019;5711000003;Pauluskirche;2671;1716;559;396;2340;331;156;117;58;489;226;82;158
31122019;2019;5711000004;Dürkopp;1698;1047;393;258;1478;220;124;65;31;355;165;37;94
31122019;2019;5711000005;Landgericht;2143;1376;481;286;1901;242;159;62;21;436;182;46;103
31122019;2019;5711000006;Siegfriedplatz (inkl. Upmannstift);6992;4299;1627;1066;6057;935;548;321;66;1474;704;182;333
31122019;2019;5711000007;Nordpark;2433;1575;494;364;2117;316;146;117;53;425;227;70;136
31122019;2019;5711000008;Stadtwerke;1715;1110;366;239;1512;203;106;53;44;332;133;58;82
31122019;2019;5711000009;Güterbahnhof-Ost;1415;762;356;297;1149;266;121;86;59;320;219;32;82
31122019;2019;5711000010;Hammer-Mühle;6425;3625;1581;1219;5376;1049;548;348;153;1440;792;208;360
31122019;2019;5711000011;Königsbrügge (i.Betriebs. Sieker);4776;2594;1267;915;3941;835;451;276;108;1136;592;205;249
31122019;2019;5711000012;Brands Busch;1523;859;397;267;1312;211;104;76;31;387;172;34;71
31122019;2019;5711000013;Stauteiche (inkl. Großmarkt);2457;1198;693;566;1995;462;219;172;71;665;333;104;157
